-	mapped_CRC001_H_single.sam	mapped_CRC001_T_single.sam	mapped_CRC002_H_single.sam	mapped_CRC002_T_single.sam	mapped_CRC003_H_single.sam	mapped_CRC003_T_single.sam	mapped_CRC004_H_single.sam	mapped_CRC004_T_single.sam	mapped_CRC005_H_single.sam	mapped_CRC005_T_single.sam	mapped_CRC006_H_single.sam	mapped_CRC006_T_single.sam	mapped_CRC007_H_single.sam	mapped_CRC007_T_single.sam	mapped_CRC009_H_single.sam	mapped_CRC009_T_single.sam	mapped_CRC010_H_single.sam	mapped_CRC010_T_single.sam	mapped_CRC011_H_single.sam	mapped_CRC011_T_single.sam	mapped_CRC012_H_single.sam	mapped_CRC012_T_single.sam	mapped_CRC013_H_single.sam	mapped_CRC013_T_single.sam
NODE_37879_length_1124_cov_1.26941	0	0	0	0	0	0	0	0	2	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0
NODE_37918_length_856_cov_5.196	0	0	0	0	0	0	0	0	1	1	0	0	2	3	0	0	0	0	1	0	0	0	0	17
NODE_37934_length_1570_cov_2.10561	0	0	0	0	0	0	0	0	4	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_37940_length_2095_cov_2.60098	0	0	0	0	0	0	0	0	0	0	0	1	0	0	4	18	0	0	1	0	0	0	0	0
NODE_37955_length_1113_cov_1.73724	0	0	0	0	0	0	0	4	0	0	0	0	0	1	1	0	1	1	1	0	0	0	0	0
NODE_37980_length_993_cov_1.18763	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	1	0	0
NODE_38048_length_1391_cov_1.46856	0	0	0	0	4	0	0	0	1	1	0	0	5	0	0	0	0	0	1	0	0	0	0	0
NODE_38071_length_823_cov_1.82682	0	0	0	4	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_38073_length_853_cov_2.54637	3	0	0	1	0	0	0	0	0	0	2	0	2	0	0	2	0	1	0	1	0	0	0	0
NODE_38141_length_1191_cov_2.36708	0	0	0	0	0	0	0	0	4	5	0	0	0	0	0	0	0	0	0	1	1	0	0	0
NODE_38196_length_874_cov_2.68498	0	0	0	3	2	0	0	3	0	0	0	2	0	2	0	1	0	0	0	0	1	0	0	0
NODE_38199_length_1177_cov_2.00357	13	0	0	1	5	1	7	0	157	5	1	40	0	0	2	21	2	4	0	1	3	0	0	5
NODE_38206_length_824_cov_4.22887	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	12
NODE_38282_length_808_cov_2.09296	4	0	1	0	1	1	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0
NODE_38315_length_1817_cov_1.51476	1	0	0	0	0	1	0	0	5	0	1	5	0	0	0	0	0	0	0	0	0	0	0	0
NODE_38400_length_949_cov_1.92394	1	1	0	0	1	0	0	1	0	0	0	0	0	0	2	0	2	0	0	0	1	0	0	1
NODE_38514_length_2398_cov_2.42296	0	0	0	0	0	0	0	0	0	1	0	1	0	0	8	16	0	1	1	0	0	0	0	0
NODE_38642_length_1171_cov_2.79032	0	0	0	0	0	0	0	0	10	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_38737_length_1052_cov_2.44534	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	9	0	0	0	0	0	0	0	0
NODE_38777_length_858_cov_2.25778	4	2	3	0	4	0	0	0	0	0	0	0	0	0	1	1	1	0	0	1	0	1	1	0
NODE_38812_length_1663_cov_1.37687	0	0	0	0	0	1	0	0	5	0	0	3	0	0	0	0	0	0	0	0	0	0	1	0
NODE_38829_length_976_cov_2.38979	0	0	0	0	0	0	0	0	4	1	0	0	0	0	0	9	0	0	0	0	0	0	0	0
NODE_39041_length_1078_cov_2.81818	0	0	0	0	0	0	0	0	7	5	0	0	0	0	0	0	0	0	0	0	1	0	0	0
NODE_39059_length_1201_cov_2.99825	5	0	2	0	0	1	0	4	1	0	0	0	0	1	2	0	2	1	0	0	0	0	0	0
NODE_39071_length_1338_cov_2.21278	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	5	0	0	0	0	0	0	0	0
NODE_39109_length_917_cov_2.62065	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	1	0	0	0	0
NODE_39124_length_803_cov_1.84225	0	0	1	0	2	1	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_39137_length_1431_cov_2.00581	0	0	0	0	0	0	0	0	4	9	0	0	0	0	0	0	0	0	0	1	0	0	0	0
NODE_39138_length_981_cov_2.69762	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	1	1	0	0	1	0	0	1	0
NODE_39181_length_2353_cov_1.90383	0	0	0	0	1	2	0	0	9	0	0	10	0	0	0	0	0	0	0	0	0	0	0	1
NODE_39193_length_846_cov_4.2756	1	0	1	0	1	1	4	1	0	1	1	1	0	0	2	1	0	1	0	1	0	0	2	0
NODE_39292_length_811_cov_2.53175	13	3	0	0	7	2	2	3	1	2	0	0	2	0	1	2	3	0	1	2	0	1	6	0
NODE_39297_length_893_cov_2.24344	3	0	1	0	0	1	0	0	0	0	0	1	5	0	0	0	0	0	0	1	0	1	0	0
NODE_39318_length_1698_cov_3.03469	0	0	0	0	0	0	0	0	0	2	0	0	0	0	6	13	0	0	0	0	0	0	0	0
NODE_39352_length_886_cov_3.93381	0	0	0	0	0	0	0	0	0	2	1	0	10	0	0	0	0	1	0	0	0	0	0	6
NODE_39374_length_888_cov_1.34454	0	0	0	0	1	1	0	0	0	1	0	1	0	2	1	0	0	0	0	0	0	0	0	2
NODE_39381_length_926_cov_1.82664	1	0	2	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0
NODE_39392_length_5914_cov_6.4016	0	0	0	0	0	1	0	0	61	99	1	3	0	0	0	0	4	0	0	3	3	0	0	1
NODE_39396_length_1658_cov_3.08796	0	0	0	0	0	0	0	0	0	1	0	0	0	0	7	11	0	0	1	0	1	0	0	0
NODE_39432_length_944_cov_1.74916	1	1	0	8	4	1	0	0	0	0	0	0	0	0	0	0	2	1	0	1	2	0	1	0
NODE_39482_length_1048_cov_2.14804	0	0	0	0	0	0	0	0	6	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_39531_length_864_cov_4.82571	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	1	0	0	1	0	0	0	0	13
NODE_39533_length_836_cov_3.06786	2	1	0	1	2	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	1	1	0
NODE_39610_length_917_cov_2.79466	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0
NODE_39625_length_1433_cov_3.52322	0	0	0	0	0	0	0	0	5	3	0	0	0	0	2	11	0	0	2	0	0	0	0	0
NODE_39636_length_876_cov_1.59562	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	5	0	0	0	0	0	0	0	0
NODE_39657_length_1513_cov_4.68519	0	0	0	0	1	0	0	0	0	1	0	0	9	0	1	0	0	0	0	0	1	0	0	22
NODE_39686_length_1280_cov_2.68653	0	0	0	0	0	0	0	0	5	0	1	9	0	0	0	0	0	0	0	0	0	0	0	0
NODE_39710_length_1299_cov_2.67042	4	0	2	2	3	0	0	3	1	0	0	0	0	3	0	0	0	0	0	1	0	0	1	0
NODE_39737_length_1928_cov_2.93433	0	0	0	0	0	0	0	0	0	1	0	0	0	1	6	14	0	0	0	0	1	0	0	0
NODE_39887_length_5571_cov_3.73513	0	0	0	0	1	1	0	0	42	40	0	3	0	1	0	0	0	0	0	0	1	0	0	0
NODE_39962_length_998_cov_6.52704	0	0	0	0	0	0	0	0	8	17	0	1	0	0	0	0	0	1	0	0	0	0	0	0
NODE_40091_length_1598_cov_2.5068	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	16	0	0	0	0	1	0	0	0
NODE_40313_length_808_cov_5.10757	28	17	11	2	25	2	1	18	9	3	9	0	5	5	5	11	18	5	2	5	6	10	24	0
NODE_40353_length_913_cov_3.55128	1	2	2	0	1	1	0	0	1	0	0	0	0	0	0	1	3	0	0	1	0	1	2	0
NODE_40365_length_5961_cov_3.3891	0	0	0	1	1	0	2	0	23	9	0	0	0	0	11	40	0	0	2	2	1	0	0	0
NODE_40440_length_2519_cov_4.36242	0	0	0	0	0	0	1	0	0	0	0	0	0	2	16	30	0	0	0	1	0	1	0	0
NODE_40446_length_1297_cov_2.8905	0	0	0	0	0	0	0	0	0	0	0	0	2	1	3	9	0	0	1	0	0	0	0	0
NODE_40611_length_868_cov_4.01968	0	0	0	0	0	0	0	0	0	1	0	0	5	0	0	1	0	1	0	0	0	0	0	7
NODE_40618_length_853_cov_2.40351	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	7
NODE_40729_length_1222_cov_3.97686	0	0	0	0	0	0	0	0	0	2	0	1	7	0	1	0	0	0	0	0	1	0	0	16
NODE_40734_length_977_cov_4.48915	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	1	2	0	0	0	0	0	16
NODE_40758_length_812_cov_6.53765	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	1	1	1	0	0	19
NODE_40773_length_1117_cov_8.91808	0	0	0	0	0	1	24	8	0	1	0	0	0	1	0	0	0	0	1	0	2	0	0	0
NODE_40820_length_4722_cov_3.09449	0	0	0	0	0	1	0	0	0	0	0	1	0	0	14	44	0	0	0	0	2	0	0	0
NODE_40823_length_1217_cov_4.99828	0	0	0	0	0	0	0	0	0	12	0	0	5	0	0	2	0	1	2	0	2	0	0	17
NODE_40824_length_846_cov_2.33123	1	2	0	0	2	0	0	0	1	0	1	0	0	0	1	0	1	1	0	0	0	0	0	0
NODE_40834_length_804_cov_9.03338	1	0	0	0	2	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	23
NODE_40843_length_940_cov_4.42599	0	0	0	0	0	0	0	0	0	1	0	0	0	2	1	0	0	0	2	0	0	0	0	15
NODE_40854_length_808_cov_1.37981	1	0	0	2	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
NODE_40902_length_1316_cov_2.86281	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	2	1	1	0	0	1	0	0	12
NODE_40907_length_1006_cov_2.43849	4	2	1	0	4	0	0	0	0	0	0	0	0	0	4	0	1	0	0	1	0	0	3	0
NODE_40909_length_842_cov_2.03558	1	2	0	7	3	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
NODE_40919_length_818_cov_4.64351	0	0	0	0	0	0	0	0	0	1	0	0	11	3	0	0	0	0	0	0	0	0	0	8
NODE_40924_length_1193_cov_3.72408	7	0	0	1	3	0	0	0	1	0	2	0	1	0	4	1	2	0	0	3	0	1	3	0
NODE_40930_length_911_cov_1.59463	0	0	0	0	0	0	0	0	0	3	0	0	2	0	0	0	0	0	0	0	0	0	0	0
NODE_40936_length_848_cov_2.89155	0	2	0	2	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1
NODE_40943_length_1262_cov_2.12759	0	0	0	0	1	0	0	0	0	0	0	0	4	2	1	1	0	0	0	1	0	0	0	4
NODE_40948_length_1285_cov_2.4935	0	0	0	0	0	2	0	0	7	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0
NODE_40968_length_1055_cov_1.46	3	1	1	0	1	0	0	1	0	0	2	0	0	0	0	1	0	0	0	1	0	0	0	0
NODE_40976_length_867_cov_4.58744	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	13
NODE_40984_length_909_cov_2.69087	4	2	0	3	4	1	0	3	0	3	1	0	0	1	1	0	2	1	0	1	0	0	1	0
NODE_40988_length_842_cov_2.88437	28	9	1	9	14	0	0	5	0	13	1	1	0	0	2	0	0	2	0	0	3	0	3	11
NODE_41000_length_1294_cov_1.89992	0	0	0	1	1	0	0	0	2	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0
NODE_41001_length_844_cov_1.93536	0	0	0	0	0	0	0	0	2	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0
NODE_41029_length_1099_cov_1.24042	0	0	0	0	0	1	0	0	3	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0
NODE_41040_length_949_cov_1.70358	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	5	0	0	0	0	0	0	0	0
NODE_41079_length_847_cov_1.76389	0	0	0	0	0	1	0	0	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_41080_length_839_cov_2.40561	2	2	0	4	3	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	2	0	2	0
NODE_41087_length_1131_cov_4.11059	3	1	1	0	3	0	9	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0
NODE_41094_length_896_cov_1.95125	0	0	0	0	0	0	0	0	3	0	3	2	0	0	0	0	0	1	0	0	0	0	0	0
NODE_41102_length_987_cov_1.76073	0	0	0	0	0	0	0	0	3	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_41106_length_4011_cov_3.98003	0	0	0	0	0	0	0	0	21	6	0	1	0	0	8	34	0	2	2	0	1	0	0	0
NODE_41112_length_1648_cov_3.85436	0	0	0	0	0	0	0	0	5	3	0	0	0	0	4	15	0	0	0	1	0	1	0	0
NODE_41116_length_1154_cov_1.44768	0	0	0	0	0	0	0	0	3	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0
NODE_41123_length_994_cov_1.25453	2	1	0	2	2	0	0	0	0	0	0	0	6	0	1	0	0	0	0	0	0	0	0	0
NODE_41125_length_1862_cov_4.03542	8	1	0	1	7	1	1	1	1	2	3	0	0	0	2	6	4	1	0	3	2	1	8	9
NODE_41129_length_1128_cov_2.11277	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	9	0	0	1	0	0	0	0	0
NODE_41139_length_2397_cov_3.99744	0	0	0	0	0	0	0	0	8	5	0	0	0	0	5	25	0	1	0	0	0	0	0	0
NODE_41143_length_971_cov_1.7369	0	0	0	0	0	1	0	0	3	1	0	2	0	0	1	0	0	0	0	0	0	0	0	0
NODE_41146_length_860_cov_2.24224	2	3	0	4	6	0	0	0	0	1	0	0	0	1	1	0	1	0	0	0	0	0	0	0
NODE_41182_length_1163_cov_1.3917	4	0	1	2	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0
NODE_41183_length_1042_cov_1.62107	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_41241_length_1219_cov_1.88058	0	0	0	0	0	0	0	0	7	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_41255_length_821_cov_1.45431	1	1	1	0	1	2	0	1	0	1	0	0	0	0	1	3	0	0	1	0	0	1	2	0
NODE_41344_length_890_cov_2.50659	2	3	1	1	5	1	0	1	0	0	0	0	6	0	1	0	2	1	0	1	0	0	2	0
NODE_41357_length_1092_cov_4.36644	0	0	0	0	0	0	0	0	2	1	0	0	0	0	5	8	0	0	0	0	0	0	0	0
NODE_41417_length_1353_cov_2.34746	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	7	0	0	2	0	0	0	0	0
NODE_41533_length_810_cov_2.61325	2	0	0	2	3	0	0	0	1	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0
NODE_42518_length_957_cov_1.79157	15	10	2	8	6	1	0	5	0	0	1	0	2	1	3	0	0	1	0	3	0	0	6	0
NODE_42671_length_1152_cov_2.7876	4	1	1	0	1	0	0	1	2	0	3	1	0	0	1	2	1	0	0	0	0	0	1	0
NODE_42779_length_812_cov_2.88375	1	0	1	0	1	1	0	0	0	0	1	0	0	0	2	0	0	0	0	4	0	1	1	0
NODE_42803_length_947_cov_3.62332	4	1	0	1	7	0	0	0	0	0	2	0	3	4	0	0	1	0	0	3	0	0	2	4
NODE_43457_length_889_cov_2.06475	2	1	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0
NODE_43629_length_3081_cov_13.264	0	0	0	0	0	0	0	0	73	94	2	2	0	0	0	0	2	0	0	1	1	0	0	1
NODE_43634_length_937_cov_1.78005	2	1	0	0	5	0	0	2	1	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0
NODE_43777_length_937_cov_1.17574	1	0	0	2	1	0	0	0	0	0	0	1	0	0	1	0	1	0	0	1	0	0	0	0
NODE_44370_length_1099_cov_2.45881	6	0	1	0	2	1	0	0	0	0	1	0	1	1	1	1	0	1	0	1	0	1	2	0
NODE_44375_length_1775_cov_3.99535	4	3	2	1	5	0	0	0	3	0	0	0	0	4	2	2	3	3	1	2	1	0	2	0
NODE_44631_length_842_cov_2.44854	3	3	0	1	1	2	0	0	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0
NODE_44717_length_1015_cov_3.00417	2	1	1	1	0	0	0	2	1	1	0	0	0	2	0	0	1	0	1	2	0	0	4	0
NODE_45002_length_1038_cov_1.16887	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0
NODE_45367_length_913_cov_1.54779	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_45368_length_1719_cov_3.45793	0	0	0	0	0	0	0	0	1	4	0	1	0	0	2	15	0	0	1	0	1	0	0	0
NODE_45861_length_829_cov_4.51938	4	1	0	0	5	0	0	2	0	0	1	0	0	0	0	2	0	0	0	1	0	0	1	0
NODE_46104_length_999_cov_3.39301	0	0	0	0	1	1	0	0	6	0	4	2	0	0	0	0	1	0	0	0	0	0	0	0
NODE_46637_length_832_cov_2.25483	4	0	1	2	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
NODE_47609_length_993_cov_2.65032	2	2	1	0	3	0	0	0	0	0	0	0	0	0	1	0	0	2	0	1	0	0	0	0
NODE_47668_length_2196_cov_2.55301	0	0	0	0	5	2	0	0	14	1	1	5	0	0	0	0	1	0	0	0	0	0	0	0
NODE_47869_length_964_cov_2.39384	2	6	1	2	3	0	0	0	0	0	1	0	0	0	1	0	3	1	0	1	0	0	0	0
NODE_47929_length_1105_cov_1.57714	0	0	0	0	0	0	0	0	3	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0
NODE_48135_length_2989_cov_1.83504	0	0	0	0	0	1	0	1	6	2	1	7	0	0	3	3	0	0	0	0	0	0	0	0
NODE_48441_length_939_cov_1.59842	2	0	0	0	0	1	0	0	0	0	1	0	0	0	0	2	1	0	1	0	0	0	0	0
NODE_48477_length_1260_cov_2.37759	2	0	0	1	6	0	0	0	0	1	0	0	0	0	2	1	1	0	1	1	0	0	2	0
NODE_48568_length_899_cov_1.67891	3	0	0	1	1	0	0	2	2	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0
NODE_49091_length_1398_cov_3.48325	3	0	2	1	2	2	0	4	2	0	3	0	2	1	0	2	0	1	0	4	1	1	2	0
NODE_49329_length_844_cov_2.43726	1	1	0	0	2	0	0	0	0	1	1	0	0	1	0	2	0	1	0	0	0	0	1	1
NODE_49352_length_857_cov_7.82918	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	28
NODE_49353_length_1804_cov_1.89708	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	11	0	0	0	0	0	0	0	0
NODE_49479_length_1276_cov_1.69206	7	0	2	2	3	1	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	1	3
NODE_49516_length_895_cov_1.76667	14	3	0	39	1	3	0	5	2	3	1	0	0	2	1	0	0	1	0	1	0	1	3	3
NODE_49585_length_3377_cov_3.33173	0	0	0	0	0	0	0	0	18	29	0	0	0	0	0	0	1	0	0	0	1	0	0	0
NODE_49679_length_828_cov_2.77361	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	1	1	0	1	1
NODE_49695_length_1398_cov_3.14147	0	0	0	0	0	5	0	0	4	1	3	8	0	0	0	0	0	0	0	0	0	0	0	0
NODE_49705_length_819_cov_2.53796	2	1	1	1	2	0	0	4	0	0	1	2	0	0	1	0	0	0	0	1	0	0	1	0
NODE_49716_length_1045_cov_2.85758	3	2	2	3	9	0	0	2	2	1	1	0	0	1	1	0	1	1	0	1	1	0	4	0
NODE_49861_length_2790_cov_4.87532	0	0	0	0	0	0	0	0	8	7	2	0	0	0	8	31	0	0	1	0	2	0	0	0
NODE_49894_length_935_cov_4.95795	6	6	1	0	3	1	0	6	0	0	1	0	0	0	0	1	4	1	0	0	0	0	0	1
NODE_50096_length_1161_cov_4.90506	5	2	0	2	6	0	0	1	0	0	5	0	0	0	1	3	2	1	0	4	1	0	1	5
NODE_50825_length_1487_cov_2.60265	7	4	2	2	9	0	0	2	0	0	0	0	1	0	1	0	2	0	0	0	0	0	5	1
NODE_50826_length_840_cov_1.75414	5	4	2	0	6	0	0	1	1	1	2	0	4	3	6	1	1	21	1	3	0	0	4	0
NODE_51056_length_2635_cov_18.9178	0	0	0	0	0	1	0	1	0	0	0	1	0	1	15	175	1	0	4	0	1	0	0	0
NODE_51118_length_833_cov_1.13239	55	1	0	5	25	1	0	6	0	5	0	0	0	0	0	0	1	2	1	1	2	0	1	2
NODE_51185_length_917_cov_2.13805	16	2	0	3	6	1	0	3	0	2	0	0	0	0	0	1	0	0	0	1	1	1	2	1
NODE_51250_length_958_cov_1.20819	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0
NODE_51325_length_9074_cov_13.436	0	0	0	0	0	1	2	4	1	6	3	8	0	1	67	415	4	7	9	1	7	1	0	0
NODE_51636_length_870_cov_1.43926	116	30	3	33	46	12	0	27	3	16	1	1	2	3	13	3	10	4	1	3	7	1	9	0
NODE_51699_length_1134_cov_2.52549	24	8	10	4	33	2	24	12	5	3	6	2	1	6	3	8	2	4	1	6	11	5	17	2
NODE_51746_length_1456_cov_1.72305	0	0	0	0	0	1	0	0	1	0	1	2	0	0	1	7	0	0	0	0	0	0	0	0
NODE_53060_length_1426_cov_2.51349	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	12	0	0	1	0	0	0	0	0
NODE_53148_length_877_cov_2.13139	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_53222_length_937_cov_2.46259	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	8	0	0	0	0	0	0	0	0
NODE_53279_length_904_cov_1.76678	0	0	0	0	0	0	0	0	4	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0
NODE_53298_length_3498_cov_3.23468	0	0	0	1	0	0	0	0	22	25	0	1	1	0	0	0	1	0	0	0	1	0	0	0
NODE_53328_length_1613_cov_2.42362	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	13	0	0	0	0	0	0	0	0
NODE_53398_length_874_cov_2.05983	0	0	0	0	0	0	0	0	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1
NODE_53473_length_1055_cov_1.648	1	0	0	1	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_53615_length_1440_cov_2.26859	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	7	0	0	1	0	0	0	0	0
NODE_53779_length_892_cov_1.90084	0	1	0	2	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	1	1	0
NODE_53789_length_827_cov_1.74611	7	2	1	0	11	1	0	0	0	0	0	0	0	1	3	0	0	1	0	1	0	0	1	0
NODE_53803_length_1178_cov_2.19412	134	31	1	46	44	11	0	35	2	19	1	1	2	3	13	0	16	1	2	3	4	0	12	11
NODE_53824_length_972_cov_2.35987	22	11	0	7	11	0	0	6	0	6	2	0	0	0	1	0	3	1	0	1	0	0	4	0
NODE_53850_length_1158_cov_3.72076	10	1	1	2	8	2	0	3	0	0	2	0	8	0	1	0	1	1	0	0	0	0	4	0
NODE_55414_length_882_cov_3.97944	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	1	1	0	0	0	15
NODE_57001_length_810_cov_5.85166	0	0	0	0	0	0	0	0	1	3	0	0	0	2	1	0	1	0	1	1	0	0	0	14
